app-a,app-b,app-c
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.6674372596527887,0.20005779447395916,0.20005779447395916
2.666785190452909,0.20000888928396815,0.20000888928396815
2.6672001066880044,0.20004000800160035,0.20004000800160035
0.0,0.0,0.0
2.2894949761417664,0.6001600426780476,0.6001600426780476
2.2892938989866902,0.6001066856330014,0.6001066856330014
2.28914472004713,0.6000666740748972,0.6000666740748972
0.0,0.0,0.0
3.889153105461216,0.26668444562970867,0.26668444562970867
3.8892375625159907,0.26669037247755356,0.26669037247755356
3.889578887933968,0.26671408250355616,0.26671408250355616
0.0,0.0,0.0
2.889718264047189,0.46680152043923806,0.46680152043923806
2.8895280430054178,0.46677039342076015,0.46677039342076015
2.8892128762292226,0.4667185242804756,0.4667185242804756
0.0,0.0,0.0
4.555761491325677,0.6666962976132272,0.6666962976132272
4.555959542038852,0.6667259311938838,0.6667259311938838
4.556667431978524,0.6668296694747605,0.6668296694747605
0.0,0.0,0.0
3.4673601386944055,0.666800026672001,0.666800026672001
3.466820747588782,0.6666962976132272,0.6666962976132272
3.4672060098237503,0.6667703865045673,0.6667703865045673
0.0,0.0,0.0
3.423890690910843,0.3334963760060474,0.3334963760060474
3.4242659163672444,0.33353345340537655,0.33353345340537655
3.4248721823856902,0.33359279439564105,0.33359279439564105
0.0,0.0,0.0
3.0896421591340513,0.33341483473738026,0.33341483473738026
3.089233124821849,0.333370374486054,0.333370374486054
3.0893704454767437,0.3333851932522838,0.3333851932522838
0.0,0.0,0.0
4.55626282593752,0.6667703865045673,0.6667703865045673
4.556262332033533,0.6667703865045673,0.6667703865045673
4.556465860919759,0.6668000266720011,0.6668000266720011
0.0,0.0,0.0
4.6004089252378,0.6667259311938838,0.6667259311938838
4.600306687112475,0.6667111140742717,0.6667111140742717
4.600715666881515,0.6667703865045673,0.6667703865045673
0.0,0.0,0.0
